LastName, FirstName, tid, RMPScore, RMPNumRatings
Love, Bradford, 1776430, 4.9, 12
Whitehead, Sarah, 2132004, 3.7, 12
Gunn, Joshua, 973518, 3.5, 12
Zarate, Rebecca, 2548832, 5.0, 12
Cheng, Shao-Ying, 2261227, 4.5, 12
Lang, Elon, 2176136, 4.0, 12
Taylor, Richard, 1956273, 3.5, 12
Williamson, Hannah, 2362434, 2.5, 12
Padilla, Yolanda, 1430892, 4.5, 12
Guernsey, Julia, 848728, 5.0, 12
Cudina, Milica, 1158014, 4.3, 12
Ditmire, Todd, 732397, 3.3, 12
Olson, Antonella, 658797, 4.6, 12
Johnson, Jane, 749860, 4.5, 12
Menchaca, Martha, 239708, 3.5, 11
Kalthoff, Klaus, 355052, 2.8, 11
Loop, Rosanne, 421971, 2.2, 11
Chase, Craig, 668459, 3.7, 11
Holcombe, James, 726421, 3.0, 11
Hilley, M, 736491, 3.1, 11
Kocurek, Gary, 1121560, 2.9, 11
Perez, Francisco, 1172852, 3.9, 11
Raz, Adi, 1274516, 4.0, 11
Krueger, Thomas, 1401762, 3.9, 11
Davies, Nicola, 1560493, 3.2, 11
Kalahurka, William, 1685326, 3.2, 11
Walthall, Alexander, 1928222, 4.8, 11
Rea, Chad, 1930355, 3.8, 11
Hosemann, Aimee, 1961754, 4.8, 11
Schukraft, Jason, 2007824, 3.3, 11
Apfeld, Brendan, 2227646, 4.6, 11
Vaughn, James, 2151338, 4.5, 11
Badolato, Patrick, 1899165, 3.8, 11
Lin, Jung-Fu, 1730216, 3.8, 11
Arima, Eugenio, 905873, 3.2, 11
Mendez, Deirdre, 1743709, 2.7, 11
Green, Laurie, 1647279, 3.3, 11
Warnow, Tandy, 1692955, 2.0, 11
Keel, Sean, 1401379, 4.2, 11
Hunt, Bruce, 1875369, 3.8, 11
Blaesi, Zach, 2296028, 4.5, 11
Hardwick, Julie, 760311, 4.2, 11
Moore, Leslie, 1730931, 4.4, 11
Kilic, Can, 1842051, 4.4, 11
Pettit, Becky, 2140642, 4.4, 11
Lee, Jack, 2179888, 3.8, 11
Dodabalapur, Ananth, 1469030, 3.0, 11
Boyles, Stephen, 2334101, 4.6, 11
Smiljanic, Rajka, 1714719, 4.5, 11
Fuller-Seeley, Kathy, 2227739, 5.0, 11
Theriot, Edward, 2255345, 4.2, 11
Anderson, Edward, 2255946, 2.8, 11
Dickerson, Jeffrey, 2075039, 4.8, 11
Glass, Jennifer, 2133876, 4.5, 11
Sadler, Michael, 2210641, 4.2, 11
Sitz, Greg, 2049369, 4.3, 11
Griffin, Lisa, 1877985, 2.7, 11
Lin, Calvin, 974728, 3.0, 11
Shanahan, Timothy, 2335893, 3.8, 11
Martinez, Alberto, 1588318, 4.8, 11
Gilden, David, 1294781, 3.0, 11
O'Brien, Shannon, 2222660, 4.5, 11
Pencheva, Gergina, 2400809, 2.7, 11
Brister, Steve, 1952398, 3.0, 11
Ben-Zvi, David, 1763588, 3.6, 11
Parker, Erica, 2389163, 2.6, 11
Marder, Michael, 2248553, 4.9, 11
Juhl, Cory, or-8494, 3.8, 10
Fox, Jan, r-75026, 4.7, 10
Carter, Mia, 174272, 4.8, 10
Sepehrnoori, Kamy, 422919, 3.8, 10
Williams, Christine, 574586, 2.9, 10
Allcock, Daniel, 682340, 3.1, 10
Singh, Devendra, 741873, 3.9, 10
Singer, Michael, 915691, 4.3, 10
Martinez, Anne, 1148877, 1.5, 10
Turner, J, 1246072, 2.0, 10
McAnelly, Mary, 1482944, 2.5, 10
Mathew, Seena, 1629179, 2.5, 10
Ramos-Scharron, Carlos, 1857253, 3.3, 10
Hegelich, Bjorn, 1880258, 1.5, 10
Figueroa, Brianna, 1936021, 3.6, 10
Bieberdorf, Kate, 1971489, 4.5, 10
Ayoub, Samy, 2130818, 4.3, 10
Straubhaar, Joseph, 2160368, 1.9, 10
Montesinos, Delia, 1168454, 4.5, 10
Brereton, Joel, 1657959, 4.1, 10
Rumrich, John, 1276920, 4.3, 10
Park, Jiwon, 1888842, 3.8, 10
Walker, Lorraine, 1678756, 5.0, 10
Nehring, Neil, or-8493, 3.0, 10
Peng, Liu, 2271896, 4.9, 10
Dicapua, Yoav, 1902570, 3.8, 10
Kirkpatrick, Mark, 2119551, 2.8, 10
Pedahzur, Ami, 914959, 3.7, 10
Arbogast, Todd, 387234, 3.9, 10
Chang, Chih-Wei, 2277549, 4.7, 10
Lloyd, Alan, 1567902, 3.8, 10
Hays, Jerry, 2106305, 3.7, 10
Fowler, Norma, 1546451, 2.7, 10
Green, Penny, 2368533, 3.4, 10
Lynn, Kirk, 2181826, 5.0, 10
Ramirez, Silvia, 1577345, 3.5, 10
Andeen, Tim, 2190385, 3.5, 10
Mena, Olivia, 2175390, 3.6, 10
Aarons, Chris, 2552377, 4.8, 10
Hervey, Greg, 2475588, 1.8, 10
Somer-Topcu, Zeynep, 2248480, 3.9, 10
Mauk, Michael, 2119074, 4.5, 10
Streeck, Jurgen, 693657, 2.6, 10
Aida, Yukie, r-97708, 4.8, 10
Wuster, Tracy, 1995517, 1.8, 10
Allen, Megan, 2181963, 4.5, 10
Twinam, Ann, 1856552, 3.9, 10
Nelson, Adele, 2254847, 3.9, 10
Spiller, Bill, 2334900, 2.7, 10
Walker, James, 1392721, 2.2, 10
King, Peter, 2262691, 3.9, 10
Mishler, Dennis, 2255415, 3.3, 10
Greenberg, Betsy, 2260736, 2.8, 10
Qiu, Lili, 1084430, 2.6, 10
Barrick, Jeffrey, 2144897, 2.8, 10
Gosling, Samuel, 2076325, 3.5, 10
De Luca, Susan, 2134906, 2.2, 10
Stinchcombe, Maxwell, 2175733, 1.9, 10
Craig, Tara, 2528852, 2.6, 10
Chong, Jacky, 2525062, 2.4, 10
Browne, Simone, 2202022, 4.6, 10
Barrish, P, 912020, 4.4, 10
Beasley, Angela, 2370889, 4.6, 10
Reyes, Nicolas, 2534332, 4.0, 10
Atkinson, Lucy, 2003103, 4.8, 10
Jolly, Christopher, 2129177, 3.6, 10
Hudson, Paul, or-8487, 3.8, 9
Jasper, Sharon, r-91833, 3.2, 9
Fonken, David, 137807, 4.8, 9
Kruppa, Joseph, 137824, 4.4, 9
Karch, Andrew, 555853, 4.7, 9
Charlesworth, Michael, 660595, 3.6, 9
Dietz, Henry, 738032, 3.9, 9
Knopf, Dan, 765148, 4.5, 9
Amador, Carlos, 914962, 4.4, 9
Mohammad, Afsar, 1168900, 4.9, 9
Engelhardt, Elizabeth, 1185028, 3.5, 9
Graham, Don, 1188568, 4.5, 9
Thomas, Kevin, 1245716, 4.1, 9
Vigorito, Anthony, 1372645, 4.7, 9
Bjurman-Pautz, Anna, 1577351, 2.5, 9
Romero, Ryan, 1627500, 3.6, 9
Berk, Herbert, 1727577, 2.6, 9
Meeks, Amy, 1797689, 4.0, 9
Terzenbach, Lauren, 1958195, 1.9, 9
Bullock, John, 2049282, 5.0, 9
Hardee, Benjamin, 2054210, 3.7, 9
Hoti, Altina, 2128021, 4.5, 9
Craven, Stephanie, 2183145, 3.6, 9
Fauser, Eriel, 2201726, 4.8, 9
Hunt, Joseph, 2278277, 4.0, 9
Denlinger, Ryan, 2280393, 1.9, 9
Ayvaci, Mehmet, 2297499, 1.9, 9
McDonough, Kelly, 1781478, 4.8, 9
Burton, Peter, 2319345, 3.6, 9
Belkin, Mikhail, 1934512, 4.2, 9
Bertelsen, Lance, 1294777, 4.7, 9
Martindale, Rowan, 2137743, 4.2, 9
Fenley, Greta, 1934919, 4.3, 9
Glavan, Jim, 199094, 4.3, 9
Strover, Sharon, 1797536, 3.6, 9
Malik, Krishan, 422915, 2.1, 9
Shingavi, Snehal, 1595727, 2.9, 9
Lai, Keji, 2281596, 3.0, 9
Dunning, Sam, 2476104, 4.1, 9
Ozyurtcu, Tolga, 2164034, 4.6, 9
Dominguez-Ruvalcaba, Hector, 1358541, 3.8, 9
Ioudina, Vera, 2359232, 2.8, 9
Crowhurst, Megan, 1399475, 3.2, 9
Keatinge-Clay, Adrian, 2035894, 2.9, 9
Ewing, Karen, 2209216, 4.5, 9
Gutterman, Lauren, 2151373, 4.6, 9
Swartzlander, Earl, 2288073, 4.5, 9
Matouschek, Andreas, 2323571, 5.0, 9
Icenhauer Ramirez, Robert, 2312511, 4.8, 9
Roberts, Jason, 1688773, 4.8, 9
Helper, Mark, r-67630, 4.4, 9
Miranker, Daniel, 1837884, 1.6, 9
Arens, Katherine, 1490559, 3.8, 9
Sayadi, Nader, 2372348, 3.4, 9
Graglia, Lino, 130710, 2.9, 9
Whalley, Shane, 2257799, 4.3, 9
Rausch, Manuel, 2360679, 4.5, 9
Gopalan, Lalitha, 2152399, 2.9, 9
Dickinson, Daniel, 2358490, 4.6, 9
Beckner, William, 2104732, 2.9, 9
Chen, Jingyi, 2368048, 3.7, 9
Eastin, Matt, 1983730, 3.4, 9
Gonzalez-Lima, Francisco, 1705881, 2.6, 9
Lang, Karol, 2417880, 3.7, 9
Neal-Beevers, Rebecca, 682786, 4.3, 9
Bayona-Roman, Marisol, 2458222, 4.6, 9
Nevarez, Celina, 2328814, 4.6, 9
Chen, Ke, 2530529, 2.7, 9
Offner, Stella, 2297265, 4.0, 9
Bizer, Marc, 749653, 3.8, 9
Walenta, Jayme, 2324844, 4.7, 9
Okediji, Moyosore, 2056856, 4.4, 9
Yang, Zong-Liang, 1861347, 2.9, 9
Payne, Shelley, 2329177, 4.2, 9
Martines, Theresa, 2525045, 5.0, 9
Lassiter, John, 1905874, 3.5, 9
Azam, Hina, 990445, 2.7, 9
Blockley, Mary E., 613391, 2.3, 9
Perry, Jonathan, 2532629, 3.9, 9
Froehls, Michael, 2460369, 3.2, 9
Gnagy, Erik, 2288380, 3.1, 9
Pangle, Lorraine, 819741, 3.7, 9
Fromme, Kim, 1076629, 3.4, 9
Rodriguez, Shelly, 2078212, 4.9, 9
Patrizi, Stefania, 2144045, 4.1, 9
Cons, Jason, 2290372, 3.6, 9
Burke, Christopher, 2449510, 3.0, 9
Brousseau, Marcel, 2293720, 4.8, 9
Madrid, Raul, or-8492, 4.3, 8
Hochberg, Herbert, 133946, 2.1, 8
Holahan, Charles, 177695, 4.5, 8
Odell, Edward, 225936, 3.5, 8
Ali, Samer, 252823, 3.6, 8
De La Llave, Rafael, 258445, 2.9, 8
Smith, Michael, 521914, 4.6, 8
Seung, T.K., 554210, 3.9, 8
Marshall, Jill, 632230, 4.2, 8
Hancock, Ian, 682579, 2.1, 8
High, Tim, 722226, 1.9, 8
Grauman, Kristen, 954672, 4.9, 8
Bushart, Tom, 1048267, 3.3, 8
Lacy, John, 1153762, 3.7, 8
Sugars, Janeal, 1232989, 4.8, 8
Manheimer, Jerry, 1349567, 3.3, 8
Mantegani, Nick, 1370930, 4.5, 8
Matysik, Tracie, 1387694, 4.6, 8
Tribbe, Matt, 1687524, 4.3, 8
Charumbira, Ruramisai, 1809571, 3.3, 8
Brown, David, 1865692, 2.8, 8
Green, Kate, 1865696, 3.8, 8
Mote, John, 1917524, 2.8, 8
Ferrell, Jason, 1926466, 4.5, 8
Turner, Jack, 2005960, 2.4, 8
Cooper, Elisa, 2035453, 4.0, 8
Christmas, Kevin, 2037883, 4.0, 8
Potoplyak, Marina, 2101361, 5.0, 8
Stovall, Gwendolyn, 2128271, 2.2, 8
Ikizler, Devrim, 2139470, 4.5, 8
Steward, Dwight, 2164826, 4.5, 8
Hudson, Alexander, 2180144, 5.0, 8
Postigo Olsson, Pablo, 2182201, 3.5, 8
Choi, Yun-Sik, 2185230, 1.8, 8
Hensley, Jennifer, 2314500, 4.8, 8
Harring, Emily, 2236598, 1.1, 8
Jones, Joni, 701465, 3.7, 8
Pedersen, Fran, 1572291, 4.4, 8
Domjan, Michael, 1246203, 2.5, 8
Manfred, Fink, 2221444, 3.1, 8
Dalbey, Bryce, 2231702, 3.4, 8
Mulder, Stephennie, 1783238, 3.9, 8
Pomeroy, Elizabeth, 2059063, 4.8, 8
Jordan, Bella, 851058, 3.8, 8
McMurry, Kay, 1611291, 4.5, 8
Liu, Chang, 2012806, 4.3, 8
Gray, Katie, 2128234, 3.8, 8
Marshall, Steven, 658816, 4.5, 8
Toynbee, Sara, 2465512, 2.6, 8
Murray, Paula, 1754601, 4.8, 8
Newman , Martha, 2022122, 3.6, 8
Keating, Elizabeth, 1628720, 3.0, 8
Que, Emily, 2156610, 2.8, 8
Krische, Michael, 1430107, 3.6, 8
Metola, Pedro, 2223990, 5.0, 8
Beaman, Joseph, 2317296, 3.6, 8
Jacobsohn, Gary, 798700, 3.2, 8
Smith, Tara, 235290, 3.9, 8
Adut, Ari, 2178966, 4.0, 8
Adams, Elizabeth, 2156690, 4.6, 8
Church Lang, Jessica, 1900253, 4.0, 8
Acosta, Renee, 2185675, 5.0, 8
Kornhaber, David, 1812966, 5.0, 8
Habeck, Michelle, 2250532, 4.1, 8
Roberts, Brian, 744783, 3.3, 8
Lu, Nanshu, 1811230, 3.4, 8
Johnson, Travis, 1805769, 2.9, 8
Schwitters, Roy, 1464542, 2.8, 8
Thomas, Caroline, 2005242, 3.0, 8
Brown, Patti, 1695580, 3.5, 8
Perry Jr., H.W., 2179805, 4.7, 8
Campbell, Craig, 1935049, 3.3, 8
van de Geijn, Robert, 2244245, 4.5, 8
Gerber, Linda, 2125590, 3.5, 8
Dordzhieva, Aysa, 2309733, 3.7, 8
Teng, Wen-Hua, 1124882, 4.0, 8
Frens-String, Joshua, 2307747, 4.7, 8
Gray, Steven, 2374165, 4.6, 8
O'Connell, Aaron, 2306567, 5.0, 8
Liljestrand, Howard, 2021479, 4.3, 8
Pancost, Nathaniel, 2361263, 2.6, 8
Marinova, Irina, 2209591, 4.1, 8
Hsieh, Camilla, 2130964, 4.6, 8
Ptacek, Jacob, 2249607, 4.5, 8
Hawkins, Keith, 2487794, 5.0, 8
Gregg, Benjamin, 2124525, 3.7, 8
Elizabeth, Catlos, 2135438, 4.0, 8
Weinreb, Amelia, 1933249, 5.0, 8
Passovoy, Dennis, 2257393, 2.4, 8
Dalthorp, James, 2561032, 4.9, 8
Brass, Chelsea, 2490383, 3.7, 8
Young, Kenneth, 2081358, 3.6, 8
Carson, Charles, 1894046, 5.0, 8
Barth, Suzanne, 700386, 4.2, 8
Hess, Peter, 2337914, 4.0, 8
Mosser, Michael, 2357659, 5.0, 8
Miller, James, 2363973, 5.0, 8
Prentice, Robert, 381795, 5.0, 8
Katz, Lynn, 2344698, 3.3, 8
Sotelo, Paola, 2559303, 3.1, 8
Kincaid, Gene, 129656, 3.8, 7
Gergen, Mark, 145509, 2.5, 7
Gordon, Ted, 239715, 3.0, 7
Vaaler, Leslie, 412683, 2.1, 7
Peters, Ekwere, 422918, 2.1, 7
Mark, Hans, 520712, 4.4, 7
Ross, Steve, 661932, 3.4, 7
Dorn, Fran, 667707, 4.7, 7
Hawkins, Raymond, 739509, 3.1, 7
Marble, Sanford, 787334, 1.8, 7
Bremen, Brian, 876356, 4.3, 7
Lukenbill, Shirley, 996991, 3.3, 7
Beer, Jennifer, 1028959, 3.4, 7
Shirazi, Faegheh, 1033362, 4.2, 7
Bigler, Rebecca, 1090633, 4.5, 7
Alvisi, Lorenzo, 1096617, 4.3, 7
Demont, Brandi, 1225642, 4.4, 7
Kline, Kimberly, 1244147, 2.6, 7
Bump, Jerome, 1248658, 3.8, 7
Shih, Ken, 1265354, 3.3, 7
Chelikowsky, James, 1294885, 3.3, 7
Zonn, Leo, 1303188, 4.5, 7
Valdimir, Lifschitz, 1458688, 2.9, 7
Evans, Brian, 1488823, 3.7, 7
Okur, Jeannette, 1571924, 4.6, 7
Urban, Jason, 1633430, 4.8, 7
Jue, Stephanie, 1710847, 4.9, 7
Fawaz, Yazz, 1722287, 4.4, 7
Stoney, John (jack), 1743614, 4.0, 7
Barr, Kathleen, 1761464, 4.5, 7
Stekler, Paul, 1808909, 2.0, 7
Amen, Sally, 1810438, 4.2, 7
Sena, David, 1819820, 2.9, 7
Childers, Zach, 1839910, 3.5, 7
Miller, Kyle, 1850934, 3.3, 7
Lock, Mike, 1897268, 3.2, 7
Sibum, Sung, 1918405, 3.0, 7
Sullivan, Chris, 1962398, 4.0, 7
McLemore, Bethany, 1998252, 3.7, 7
Duran Oliva, Pablo, 2004740, 3.7, 7
Williamson, Sinead, 2011399, 3.2, 7
Gershoff, Elizabeth, 2011859, 4.7, 7
Maggi, Francesco, 2046129, 3.6, 7
Elkins, Jules, 2070739, 4.8, 7
Moench, Creighton, 2090829, 3.0, 7
Bego, Ockhee, 2092185, 4.0, 7
Polit, Gabriella, 2095225, 3.3, 7
Brower, Benjamin, 2096405, 2.7, 7
Vaught, Jeannette, 2119955, 4.7, 7
FitzPatrick, Daniel, 2135441, 5.0, 7
Taylor, Mary Anne, 2145550, 4.7, 7
Turner Strong, Pauline, 2163128, 4.3, 7
Tiwari, Mohit, 2178900, 4.7, 7
Peers, Glenn, 2203666, 4.1, 7
Labun, Lance, 2209416, 3.0, 7
Dillig, Isil, 2215846, 4.0, 7
Rayo, Giorleny, 2239279, 4.1, 7
Atkinson, Nigel, 2244135, 1.7, 7
McCreary, Anne, 2251667, 5.0, 7
Chimonidou, Antonia, 2252835, 4.6, 7
Awapara, Omar, 2277607, 4.3, 7
Perez, Luke, 2277608, 2.9, 7
Baker, Michael, 2366552, 5.0, 7
Mendez, Khristian, 2376010, 2.0, 7
Smith, Mark, 1711952, 4.4, 7
Samant, Abhay, 2329038, 4.1, 7
Ostlund, Karen, 2229258, 3.6, 7
Barber, Micah, 2028723, 4.6, 7
Robert, Lewis, 2337164, 3.5, 7
Crosnoe, Robert, 1683652, 3.5, 7
Chery, Tshepo, 2132369, 5.0, 7
Riggsby, Andrew, 1307565, 3.0, 7
Rather, Susan, 2297635, 2.7, 7
Seales, Chad, 2167876, 4.3, 7
Rodriguez, Enrique, 450685, 3.0, 7
Sentis, Luis, 2419975, 4.9, 7
Davis, Pat, 1374861, 4.8, 7
Landolt, Karen, 1963368, 4.2, 7
Birkholz, Daniel, 2101147, 5.0, 7
Rojeski, Laura, 2288880, 4.7, 7
Henkelman, Graeme, 1339239, 3.0, 7
Bowler, Brendan, 2424861, 4.3, 7
Dierking, Douglas, 672036, 5.0, 7
Gillespie, Kate, 1833968, 4.1, 7
Fong, Rowena, 1126330, 4.0, 7
Prozzi, Jorge, 299474, 4.0, 7
Wadman, James, 2316108, 5.0, 7
Jiménez, Bulmaro, 2473188, 3.1, 7
White, Debbie, 1626437, 4.7, 7
Moshkovitz, Dana, 2259317, 4.3, 7
Hillmann, Michael, 1805430, 4.1, 7
Lee, Hongjoo, 2227342, 4.8, 7
Roberts, Sean, 1906835, 4.7, 7
Damien, Paul, 2221264, 4.2, 7
Mear, Mark, 2006184, 4.3, 7
Tewari, Aditya, 2567939, 5.0, 7
Chambers, Edward, 1810081, 3.9, 7
Jarvis, Sharon, 526083, 4.8, 7
Berenstain, Nora, 1621153, 4.2, 7
Pinto, Samantha, 2419689, 4.4, 7
Weiss, Inbar, 2441366, 4.0, 7
White, Steven, 658716, 4.7, 7
Rhodes, Diane, 2101891, 5.0, 7
Ciszek, Erica, 2458867, 5.0, 7
Rochlen, Aaron, 453681, 3.9, 7
Yoo, Philip, 2274504, 4.3, 7
Evans Case, Rhonda, 1899273, 4.4, 7
Finney, Russ, 2559689, 5.0, 7
Harrison, Louis, 2307341, 4.8, 7
Redlick, Madeleine, 2553636, 5.0, 7
Kim, Goh-Eun, 2264449, 4.4, 7
Bardhan, Anindita, 2533539, 3.1, 7
O'Halloran, Theresa, 2053028, 4.8, 7
Griffiths, Josh, 2211600, 4.7, 7
Bullock, Barbara, 1617685, 4.4, 7
Evans, Amanda, 2542933, 4.0, 7
Webster, Anthony, 2141576, 4.0, 7
Tackett, Katie, 2312378, 5.0, 7
McClure, Paul, 2552541, 4.0, 7
Wynne, Michael, 2133997, 5.0, 7
Nault, Curran, 1220187, 4.6, 7
Epstein, Marissa, 2417000, 4.4, 7
Sailors, Michael, 1601547, 4.2, 7
Hutchison, Coleman, 2180871, 3.9, 7
Miller, Jennifer, 2166018, 3.1, 7
Huang, Rui, 1927131, 3.1, 7
Hines, Zachary, 2241906, 5.0, 7
Ramont, Franky, 389834, 2.6, 7
Litland, Jon, 1953949, 4.3, 7
Leeds, Sandy, 2309270, 5.0, 7
Sanders, Amy, 2492016, 2.9, 7
Rayne, Karen, 1139519, 5.0, 7
Parikh, Devangi, 2549238, 2.9, 7
Gligoric, Milos, 2376459, 4.7, 7
Pittard, Andrea, 2567949, 4.1, 7
Rao, Rohitash, 2505058, 5.0, 7
Scott, Suzanne, 2058880, 4.2, 7
Perez, Jorge, 2243314, 4.8, 7
Matzner, Richard, 886409, 3.7, 7
Jimenez, Monica, 2294590, 3.7, 7
Palka, Bruce, r-17503, 3.7, 6
Granof, Dena, 170876, 4.6, 6
Bini, Daniella, 226501, 2.7, 6
Bajaj, Chandrajit, 244234, 2.3, 6
Powe, Scot, 345181, 4.2, 6
Burns, Neal, 369638, 2.9, 6
Cleaver, Harry, 378881, 3.7, 6
Buel, Sarah, 395533, 1.9, 6
Lake, Larry, 422910, 2.4, 6
Gill, Tiffany, 643507, 4.1, 6
Cowley, Allen, 649509, 2.7, 6
Chazalon, Elodie, 677486, 3.3, 6
Levack, Brian, 715443, 3.1, 6
Charles, Michael Ray, 722231, 2.2, 6
Peers, Glen, 735266, 3.6, 6
Sylvie, George, 743037, 2.4, 6
Stalker, Nancy, 758187, 2.1, 6
Frost, Kate, 879110, 3.1, 6
Casellas, Jason, 881124, 4.0, 6
Angulo, Sarah, 882326, 4.9, 6
Delgado-Reyes, Cassandra, 931816, 5.0, 6
Katayama, Akemi, 986586, 4.7, 6
Antokoletz, Elliott, 1018746, 2.7, 6
Robinson, Keith, 1050425, 3.9, 6
Bryant, James, 1089705, 2.7, 6
Atiase, Florence, 1091945, 3.2, 6
Fuller, Jennifer, 1093309, 3.3, 6
MacDowell, Richard, 1106660, 3.1, 6
Long, Christopher, 1120519, 4.8, 6
Davies, Sarah, 1152953, 4.6, 6
Marquardt, Thomas, 1228666, 3.9, 6
Heath, Robert, 1323862, 2.6, 6
Mahometa, Michael, 1374864, 3.5, 6
Martin, Nancy, 1393985, 3.9, 6
Park, Kyung, 1447597, 5.0, 6
Browning, Cassidy, 1482816, 4.8, 6
Somersille, Stephanie, 1485269, 2.0, 6
Beaver, David, 1526331, 3.5, 6
Sounny-Slitine, Anwar, 1535521, 5.0, 6
Proops, Ian, 1593067, 4.1, 6
Ozman, Ekin, 1617146, 4.2, 6
Candelaria, Lorenzo, 1620394, 5.0, 6
Dollard, John, 1698050, 4.1, 6
Jones, Jacqueline, 1713931, 1.7, 6
Jones, Bryan, 1734936, 4.1, 6
Bargmann, William, 1790378, 4.0, 6
Yu, Guihua, 1844550, 5.0, 6
Wilkinson, Lynne, 1853751, 2.5, 6
Helfer, Ariel, 1883008, 3.1, 6
Humphrey, Simon, 1890047, 2.6, 6
Smith, Christen, 1907426, 4.8, 6
Goodnow, Regina, 1912515, 4.3, 6
Lee, Wei-Na, 1929064, 2.0, 6
Sudarshan, George, 1946161, 1.4, 6
Dembin, Russell, 2006590, 4.2, 6
Goduto, Don Carlo, 2014758, 3.1, 6
Riekenberg, JJ, 2027442, 4.4, 6
Reid, Alan, 2038541, 3.8, 6
Moore, Joseph, 2049732, 4.9, 6
Zarrugh, Amina, 2057769, 4.3, 6
Dochtermann, Anton, 2062966, 4.2, 6
Durden, Emily, 2080070, 4.0, 6
Bradley, Taylor, 2081388, 3.5, 6
Pesenson, Michael, 2091366, 3.4, 6
Newell, Angela, 2112137, 1.2, 6
Chen, Wenhong, 2145002, 2.1, 6
Swed, Ori, 2172907, 3.7, 6
Dalton, Melissa, 2224216, 4.2, 6
Bennett, Zachary, 2249790, 3.7, 6
Piper, Timothy, 2306591, 5.0, 6
Bermudez, Natalia, 2370342, 2.8, 6
Schnyer, Rosa, 2374597, 3.0, 6
Nguyen, Hien, 2460749, 5.0, 6
Garrison, Michael, 131399, 3.5, 6
Buckalew-Garcia, Bob, 1909546, 4.3, 6
Coffin, Judith, 2238260, 4.2, 6
Rose, Mary, 2212801, 4.5, 6
Dell'Antonio, Andrew, 673820, 4.2, 6
Zamora-Olivares, Diana, 2144036, 2.8, 6
Potter, Rose, 2052096, 5.0, 6
Alvarez, Chad, 2110783, 4.8, 6
Williamson, Zachary, 2260388, 3.7, 6
Curley, James, 2371300, 5.0, 6
Wolford, Scott, 1890387, 4.8, 6
Wang, Di, 2345981, 4.5, 6
Liu, Amy, 1999133, 4.2, 6
Kelly, Kristie, 2150647, 4.3, 6
Garfield, Seth, 1095711, 2.6, 6
Jhang, Rita, 2326639, 5.0, 6
Tutuc, Emanuel, 2010600, 4.5, 6
Thomas, Ian, 142866, 2.5, 6
Olson, Jon, 847724, 3.3, 6
Haley, Andreana, 1436519, 4.0, 6
Gentle, Kenneth, 2018298, 1.7, 6
Cooke, Chikako, 2157115, 4.8, 6
Goins, Elizabeth, 1764034, 4.3, 6
Kaufman, Cheryl, 2000838, 4.0, 6
Casares, Oscar, 726586, 3.4, 6
LeBron, Marisol, 2468235, 2.3, 6
Rathje, Ellen, 135406, 2.9, 6
Luskin, Robert, 1146109, 3.5, 6
Witchel, Emmett, 1082431, 3.8, 6
Rosen, Arlene, 2131138, 3.0, 6
Daugherty, Neal, 1633411, 4.6, 6
Moyer-Trimyer, Rachel, 2243459, 4.2, 6
Hempel-Medina, Deborah, 2312566, 3.8, 6
Woods, Marjorie, 1296260, 5.0, 6
Gawronski, Bertram, 1922704, 4.3, 6
Oppenheim, Robert, 1491508, 3.6, 6
Perren, Alisa, 1977003, 3.6, 6
Eastin, Matthew, 2456057, 3.2, 6
Lin, Ken-Hou, 1862325, 4.6, 6
Bovik, Alan, 106585, 4.4, 6
Harney, Michael, 2290022, 2.5, 6
Schnyer, David, 1764273, 4.9, 6
Abraham, Sarah, 2336375, 5.0, 6
Plaxton, Greg, 1925639, 2.5, 6
Schofer, Jonathan, 2323133, 3.7, 6
Hanna, Scott, 2056138, 2.7, 6
van Winkle, Katie, 2006186, 4.3, 6
Epps, Patience, 2325181, 4.2, 6
Abraham, Jacob, 2179860, 2.8, 6
Steiker, Lori, 2246293, 5.0, 6
Winslade, William, 2414123, 4.7, 6
Yan, Veronica, 2421305, 3.8, 6
Ballard, Dana, 1213203, 3.2, 6
Myers, Scott, 1241184, 4.3, 6
Baiz, Carlos, 2365520, 4.3, 6
Marmor-Lavie, Galit, 2335872, 3.8, 6
Charney, Davida, 2027485, 4.8, 6
Chisholm, Barbara, 2287115, 4.8, 6
Heinzelman, Kurt, 862135, 4.8, 6
Gaddis, Damon, 2519629, 1.0, 6
Hall, Neal, 1962481, 4.6, 6
Echols, Reid, 2499106, 5.0, 6
Jowers, Esbelle, 2520492, 1.8, 6
Rocco, Marion, 2163130, 4.7, 6
Caceres, Elena, 2340553, 4.0, 6
Casey, Caitlin, 2073898, 4.2, 6
Cabrera, Robert, 1926864, 3.6, 6
Starbird, Michael, 2266703, 4.7, 6
Meadows, Monica, 1278226, 2.6, 6
Twito, Samuel, 2448030, 3.0, 6
Santacruz, Pedro, 2500991, 4.8, 6
Ulbricht, Jarvis, 148592, 3.2, 5
Farrar, Roger, 259676, 3.4, 5
Wolitz, Louise, 336588, 2.8, 5
Friedman, Alan, 370177, 4.8, 5
Liechti, Kenneth, 413054, 3.5, 5
Baker, Mary, 440624, 3.7, 5
Reynolds, Ann, 673782, 4.5, 5
Abbott, John, 676972, 5.0, 5
Williams, Holly, 677429, 2.6, 5
Wettlaufer, Alex, 748250, 3.4, 5
Siller, David, 767577, 3.4, 5
Smith, Cherise, 838200, 4.3, 5
Cash, Wanda, 942905, 4.0, 5
